Customer_ID,Age,Gender,Annual_Income,Employment_Type,Credit_Score
C00001,24,Male,2730538,Student,724.0
C00002,51,Female,2300086,Student,779.0
C00003,47,Male,858763,Self-Employed,736.0
C00004,38,Female,2988677,Student,556.0
C00005,38,Female,2980204,Student,605.0
C00006,55,Male,410638,Self-Employed,738.0
C00007,24,Male,369302,Student,636.0
C00008,48,Male,961282,Self-Employed,568.0
C00009,29,Female,2443731,Self-Employed,714.0
C00010,24,Male,1913900,Self-Employed,645.0
C00011,42,Male,1684037,Student,802.0
C00012,60,Male,1421025,Salaried,817.0
C00013,50,Male,1595062,Salaried,589.0
C00014,51,Male,2021401,Self-Employed,783.0
C00015,49,Male,472189,Self-Employed,808.0
C00016,52,Female,1883291,Salaried,742.0
C00017,41,Male,896254,Self-Employed,733.0
C00018,26,Male,2427571,Salaried,689.0
C00019,54,Female,827590,Salaried,697.0
C00020,39,Male,491437,Self-Employed,573.0
C00021,41,Male,1473784,Salaried,593.0
C00022,35,Female,1489663,Self-Employed,755.0
C00023,28,Male,1700097,Self-Employed,715.0
C00024,58,Female,2622145,Self-Employed,602.0
C00025,52,Male,2189589,Self-Employed,656.0
C00026,46,Male,1279457,Student,744.0
C00027,37,Male,2261864,Self-Employed,606.0
C00028,53,Male,1660229,Self-Employed,613.0
C00029,42,Male,904154,Salaried,814.0
C00030,38,Female,358262,Student,687.0
C00031,39,Female,310793,Salaried,688.0
C00032,30,Male,905269,Salaried,572.0
C00033,24,Female,2511523,Student,574.0
C00034,43,Female,1551868,Salaried,745.0
C00035,56,Female,1519737,Salaried,640.0
C00036,23,Female,1377213,Salaried,634.0
C00037,55,Male,991118,Student,604.0
C00038,54,Male,2229568,Student,776.0
C00039,32,Female,334466,Student,832.0
C00040,46,Female,1952075,Salaried,628.0
C00041,27,Female,2829676,Self-Employed,623.0
C00042,51,Male,2676762,Student,784.0
C00043,49,Female,1297136,Self-Employed,702.0
C00044,35,Male,2607880,Salaried,789.0
C00045,23,Female,941593,,774.0
C00046,59,Male,951293,Salaried,789.0
C00047,38,Male,1227400,Student,597.0
C00048,56,Female,347624,Self-Employed,711.0
C00049,48,Female,1017139,Student,681.0
C00050,52,Male,2607071,Self-Employed,810.0
C00051,51,Male,2358417,Student,746.0
C00052,28,Male,1188626,Student,774.0
C00053,35,Male,1143604,Self-Employed,815.0
C00054,39,Female,1237196,Salaried,757.0
C00055,40,Male,621209,Salaried,746.0
C00056,22,Male,727665,Student,709.0
C00057,42,Female,2980379,Student,574.0
C00058,27,Female,2171119,Self-Employed,766.0
C00059,50,Male,2129378,Salaried,646.0
C00060,48,Female,1056294,Student,587.0
C00061,57,Female,2611090,Self-Employed,655.0
C00062,50,Female,777206,Salaried,654.0
C00063,35,Male,2915444,Self-Employed,666.0
C00064,59,Female,1193182,Student,
C00065,37,Female,2326122,,833.0
C00066,34,Female,1426455,Self-Employed,815.0
C00067,57,Female,1027916,Student,560.0
C00068,35,Male,2145789,Student,699.0
C00069,24,Female,2249505,Self-Employed,640.0
C00070,39,Female,1928815,Salaried,805.0
C00071,52,Female,1547332,Salaried,698.0
C00072,28,Female,1187764,Salaried,740.0
C00073,39,Male,1390186,Salaried,576.0
C00074,26,Female,2660813,Student,764.0
C00075,48,Female,1270706,Salaried,
C00076,40,Female,2911414,Salaried,813.0
C00077,34,Female,693068,Student,582.0
C00078,30,Female,739347,Self-Employed,641.0
C00079,43,Male,1198111,Salaried,802.0
