Alert_ID,Customer_ID,Alert_Date,Alert_Type,Risk_Level
F000001,C18095,2023-10-31,Multiple Transactions,Low
F000002,C10230,2023-04-14,Multiple Transactions,Medium
F000003,C16367,2023-02-14,High Amount,Medium
F000004,C17720,2023-01-26,Location Mismatch,High
F000005,C19478,2023-10-26,Location Mismatch,High
F000006,C03270,2023-03-03,High Amount,Low
F000007,C01593,2023-08-08,Location Mismatch,Medium
F000008,C03651,2023-12-07,Location Mismatch,High
F000009,C18494,2023-08-03,Location Mismatch,High
F000010,C10204,2023-08-26,Location Mismatch,Low
F000011,C16155,2023-11-13,Multiple Transactions,Low
F000012,C18176,2023-05-24,High Amount,Low
F000013,C04655,2023-04-19,Multiple Transactions,High
F000014,C19899,2023-03-05,Location Mismatch,Medium
F000015,C12435,2023-11-18,Location Mismatch,High
F000016,C05742,2023-07-12,Location Mismatch,Medium
F000017,C17296,2023-09-25,Location Mismatch,Medium
F000018,C07525,2023-11-25,Multiple Transactions,
F000019,C10022,2023-08-23,Multiple Transactions,High
F000020,C11939,2023-06-24,Location Mismatch,High
F000021,C11490,2023-09-30,Location Mismatch,Low
F000022,C14277,2023-01-11,Multiple Transactions,
F000023,C16871,2023-03-01,Location Mismatch,Low
F000024,C17154,2023-02-17,High Amount,Low
F000025,C16194,2023-08-06,HighAmount,Low
F000026,C16630,2023-01-10,High Amount,Medium
F000027,C14378,2023-04-12,High Amount,High
F000028,C14356,2023-02-07,High Amount,Medium
F000029,C13922,2023-06-05,Location Mismatch,Low
F000030,C13784,2023-09-17,High Amount,Low
F000031,C10738,2023-10-18,Multiple Transactions,High
F000032,C00524,2023-05-04,Multiple Transactions,High
F000033,C08263,2023-08-14,Multiple Transactions,Medium
F000034,C14605,2023-11-29,Location Mismatch,Medium
F000035,C02559,2023-03-28,Multiple Transactions,High
F000036,C05185,2023-03-20,High Amount,High
F000037,C13512,2023-05-20,High Amount,Low
F000038,C10231,2023-03-06,High Amount,Medium
