Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Tenure_Years,Loan_Status,Disbursed_Date
L00001,C03686,B04,Car Loan,2963973,12.2,9,Active,2023-05-10
L00002,C12161,B05,Car Loan,1552503,13.6,22,Delayed,2024-05-05
L00003,C17325,B03,Car Loan,821838,11.5,25,Default,2024-03-29
L00004,C01741,B04,Car Loan,3458426,8.1,4,Active,2023-02-16
L00005,C01600,B04,Personal Loan,2055667,8.0,30,Delayed,2022-04-21
L00006,C11344,B03,Personal Loan,1451842,7.8,20,Active,2023-08-04
L00007,C15625,B02,Car Loan,1472764,15.7,16,Active,2022-08-16
L00008,C02045,B05,Car Loan,953609,15.6,3,Active,2024-02-12
L00009,C18883,B04,Education Loan,3540269,10.8,14,Delayed,2022-06-15
L00010,C09538,B01,Education Loan,4710208,13.2,16,Default,2023-10-16
L00011,C02127,B03,Education Loan,3860444,8.0,20,Active,2023-03-01
L00012,C08946,B03,Car Loan,1246795,13.5,5,Actve,2023-11-25
L00013,C08674,B02,Car Loan,4324550,11.4,27,Closed,2024-06-13
L00014,C07807,B04,Personal Loan,99999999,11.7,3,Closed,2024-05-13
L00015,C11700,B04,Home Loan,1391255,8.4,19,Active,2023-06-01
L00016,C04934,B03,Education Loan,2273530,10.8,27,Closed,2024-05-03
L00017,C19827,B02,Home Loan,3313239,9.1,24,Delayed,2024-05-19
L00018,C05717,B02,Home Loan,3344304,7.6,23,Closed,2023-09-15
L00019,C17308,B04,Education Loan,2631832,11.0,8,Active,2022-12-25
L00020,C16373,B05,Car Loan,2391496,8.4,9,Closed,2024-01-17
L00021,C08285,B04,Car Loan,2769697,9.1,5,Active,2023-03-19
L00022,C03857,B01,Education Loan,3766419,10.1,23,Active,2024-03-25
L00023,C19359,B04,Home Loan,1279234,11.4,30,Closed,2024-04-06
L00024,C11459,B03,Home Loan,1565408,9.5,3,Default,2022-03-16
L00025,C06626,B04,Personal Loan,3600634,15.6,18,Active,2022-11-19
L00026,C03020,B02,Home Loan,3665591,15.3,30,Default,2023-05-18
L00027,C06800,B03,Personal Loan,3191299,9.6,4,Closed,2024-04-13
L00028,C13045,B03,Home Loan,3891018,11.3,13,Active,2022-12-24
L00029,C10126,B04,Car Loan,4551606,12.7,20,Active,2023-11-28
L00030,C01333,B05,Car Loan,2026964,9.1,22,Active,2022-04-16
L00031,C15592,B05,Home Loan,3082163,12.8,19,Active,2022-12-11
L00032,C06426,B01,Education Loan,4352105,11.1,13,Delayed,2022-11-13
L00033,C03844,B01,Personal Loan,3532932,7.8,29,Active,2023-11-07
L00034,C13995,B05,Car Loan,1055208,9.7,18,Active,2023-05-06
L00035,C14850,B04,Personal Loan,1854823,9.1,27,Closed,2022-07-12
L00036,C16438,B02,Car Loan,3080486,14.5,9,Delayed,2022-04-25
L00037,C00055,B01,Car Loan,1101985,11.7,16,Active,2024-05-04
L00038,C07747,B01,Home Loan,3805361,9.0,28,Closed,2022-02-23
L00039,C05250,B03,Education Loan,4745615,12.3,19,Active,2022-02-07
L00040,C11613,B02,Education Loan,2966025,11.2,22,Active,2023-05-16
L00041,C19490,B01,Car Loan,3096013,11.1,21,Closed,2022-06-13
L00042,C02397,B05,Personal Loan,3456898,9.2,4,Active,2022-04-28
L00043,C13130,B04,Personal Loan,2496374,12.9,22,Active,2024-01-11
L00044,C08889,B03,Home Loan,3561817,14.5,9,Closed,2022-11-01
L00045,C09252,B01,Personal Loan,4993019,11.6,16,Closed,2023-06-11
L00046,C18837,B01,Personal Loan,1732403,8.8,5,Active,2022-10-02
L00047,C14636,B04,Personal Loan,1471358,9.7,11,Default,2022-09-25
L00048,C01894,B02,Home Loan,2481193,10.2,7,Active,2022-01-28
L00049,C08706,B03,Education Loan,3588982,15.0,18,Default,2024-02-27
L00050,C14850,B05,Personal Loan,3809089,12.8,4,Actve,2022-01-17
L00051,C02134,B02,Home Loan,1281453,15.4,22,Active,2023-07-19
L00052,C10118,B05,Personal Loan,4750461,10.2,30,Active,2022-04-11
L00053,C09952,B05,Education Loan,2312641,14.9,19,Active,2023-06-13
L00054,C01468,B03,Home Loan,2536358,14.2,21,Closed,
L00055,C19109,B02,Home Loan,2020287,15.6,23,Default,2023-12-08
L00056,C07401,B05,Education Loan,376167,9.6,18,Active,
L00057,C05453,B02,Home Loan,3820731,15.6,5,Active,2024-04-24
L00058,C01781,B05,Car Loan,2403288,13.1,21,Closed,2023-02-15
L00059,C01058,B03,Education Loan,2443837,13.7,30,Delayed,2023-01-24
L00060,C03924,B05,Education Loan,2717487,9.1,22,Active,2024-05-02
L00061,C14827,B02,Car Loan,1862447,9.3,7,Active,2024-02-08
L00062,C05360,B04,Personal Loan,838015,16.0,18,Active,2022-06-28
L00063,C09089,B04,Education Loan,1601287,14.2,28,Active,2023-01-25
L00064,C13232,B02,Car Loan,2821268,15.1,25,Default,2022-06-02
L00065,C06695,B01,Education Loan,4223020,9.7,16,Delayed,2022-07-31
L00066,C08145,B02,Education Loan,2299654,11.7,19,Active,2022-11-13
L00067,C09751,B04,Personal Loan,1200622,12.0,28,Closed,2023-02-25
L00068,C18083,B04,Personal Loan,1486183,9.8,7,Active,2022-06-14
L00069,C18600,B03,Home Loan,2404677,8.7,8,Active,2022-07-26
L00070,C05794,B05,Education Loan,4588334,9.1,6,Active,2024-03-16
L00071,C05005,B04,Car Loan,2232545,10.2,27,Active,2022-05-04
L00072,C08083,B01,Personal Loan,1447564,11.1,5,Active,2024-05-27
L00073,C04011,B02,Education Loan,2462143,7.7,8,Active,2023-03-20
L00074,C11369,B03,Car Loan,4598682,11.6,8,Active,2023-02-09
L00075,C10679,B01,Home Loan,3403113,12.0,22,Active,2023-04-05
L00076,C09313,B02,Home Loan,3650410,11.5,4,Active,2022-11-12
L00077,C09267,B04,Personal Loan,4456338,12.5,3,Active,2023-12-05
L00078,C17181,B05,Personal Loan,99999999,8.3,15,Delayed,2022-01-10
L00079,C02996,B01,Home Loan,956775,15.0,12,Active,2022-08-29
L00080,C15331,B03,Personal Loan,1295768,9.5,8,Delayed,2022-09-02
L00081,C11614,B03,Home Loan,3639759,11.2,29,Active,2023-12-07
L00082,C15860,B05,Personal Loan,1202042,14.8,20,Active,2022-07-23
L00083,C11490,B05,Car Loan,885964,13.6,23,Active,2022-07-28
L00084,C15422,B05,Education Loan,2242282,13.6,30,Active,2022-10-23
L00085,C12109,B05,Car Loan,231955,14.3,22,Delayed,2022-02-15
L00086,C14240,B04,Education Loan,4420392,15.7,10,Active,2022-10-11
L00087,C08272,B02,Education Loan,238041,7.8,18,Active,2023-09-04
L00088,C17880,B02,Education Loan,921292,16.0,5,Active,2024-04-06
L00089,C05801,B05,Car Loan,4501120,15.4,22,Active,2023-04-15
L00090,C14345,B04,Personal Loan,4941528,8.7,19,Active,2023-01-12
L00091,C06567,B04,Personal Loan,4262381,10.0,28,Active,2022-12-17
L00092,C15826,B02,Personal Loan,2566762,13.1,11,Active,2024-02-15
L00093,C16688,B05,Personal Loan,1764766,15.0,4,Closed,2023-07-11
L00094,C03696,B01,Car Loan,4601672,12.1,12,Active,2023-11-28
L00095,C12502,B05,Education Loan,99999999,11.9,11,Closed,2022-11-05
L00096,C10561,B02,Education Loan,391732,8.5,30,Closed,2023-11-07
L00097,C07961,B01,Car Loan,919873,13.7,25,Closed,2022-02-08
L00098,C05582,B05,Home Loan,4492540,11.7,12,Closed,2023-03-15
L00099,C12266,B05,Education Loan,3819622,8.4,30,Delayed,2023-03-29
L00100,C16471,B05,Home Loan,563443,15.3,12,Active,2022-01-02
L00101,C06993,B01,Home Loan,4992287,9.5,23,Active,2022-02-26
L00102,C06684,B03,Education Loan,2928308,12.0,8,Closed,2022-04-15
L00103,C17253,B02,Education Loan,4734409,14.6,6,Active,2024-03-03
L00104,C15111,B02,Home Loan,4810540,13.2,24,Active,2022-12-04
L00105,C14553,B02,Education Loan,3242875,9.5,20,Active,2024-06-05
L00106,C11845,B01,Education Loan,466368,16.0,19,Closed,2024-06-17
L00107,C02019,B03,Education Loan,2345527,8.3,6,Active,2023-08-09
L00108,C03010,B01,Home Loan,4494361,14.3,6,Closed,2022-01-21
L00109,C01124,B02,Car Loan,1958784,11.4,24,Actve,2023-12-26
L00110,C06286,B04,Personal Loan,1677492,8.1,25,Active,2023-05-07
L00111,C00669,B01,Home Loan,1527876,9.6,24,Active,2024-05-07
L00112,C09424,B04,Education Loan,3403341,8.2,26,Active,2022-11-18
L00113,C00551,B05,Education Loan,610859,9.3,6,Active,2022-12-19
L00114,C19911,B05,Education Loan,2297093,15.0,16,Active,2023-08-30
L00115,C09939,B04,Personal Loan,1205855,10.0,15,Active,
L00116,C00259,B05,Education Loan,4444118,12.7,7,Active,2024-05-20
L00117,C03617,B03,Car Loan,2881499,9.2,29,Active,2023-03-21
L00118,C03756,B05,Car Loan,1495171,-1.0,21,Delayed,2023-08-19
L00119,C13491,B04,Car Loan,1504711,10.5,13,Active,2022-11-07
L00120,C15399,B05,Car Loan,3742549,15.6,23,Active,2022-05-06
L00121,C09656,B05,Home Loan,3682500,9.3,5,Active,2023-08-24
L00122,C14537,B04,Car Loan,4439364,13.1,28,Active,2022-06-27
L00123,C01870,B02,Personal Loan,3885380,10.7,19,Delayed,2023-05-15
L00124,C06275,B01,Education Loan,930784,8.7,14,Delayed,2023-10-28
L00125,C00117,B02,Personal Loan,2487862,12.2,17,Active,2023-08-15
L00126,C08148,B02,Education Loan,211362,10.7,13,Active,2023-02-19
L00127,C00735,B05,Education Loan,4546656,14.9,14,Closed,2023-11-25
L00128,C15820,B01,Home Loan,3854948,15.4,16,Active,2023-07-13
L00129,C10667,B03,Personal Loan,4113341,12.3,8,Active,2023-04-14
L00130,C15065,B05,Personal Loan,3710445,10.0,20,Delayed,2022-06-12
L00131,C11733,B02,Education Loan,573288,12.0,6,Delayed,2024-04-12
L00132,C00748,B03,Education Loan,3419756,15.0,16,Active,2022-06-10
L00133,C07061,B01,Home Loan,4051964,13.2,26,Active,2022-05-23
L00134,C00245,B03,Home Loan,3256331,8.2,22,Closed,2024-05-20
L00135,C01579,B05,Personal Loan,4182961,8.0,11,Active,2023-03-12
L00136,C18804,B04,Car Loan,3056937,8.8,19,Delayed,2022-08-10
L00137,C18694,B03,Education Loan,1863692,12.3,4,Active,2022-07-01
L00138,C02394,B05,Personal Loan,2127114,8.9,29,Active,2022-10-22
L00139,C08115,B05,Personal Loan,2566350,9.7,9,Active,2023-04-18
L00140,C05779,B02,Education Loan,1638145,12.0,6,Active,2022-10-24
L00141,C08587,B04,Personal Loan,536546,12.3,29,Active,2023-06-14
L00142,C12198,B04,Personal Loan,2558251,14.5,14,Delayed,2022-09-03
L00143,C07630,B03,Home Loan,1476414,11.2,9,Closed,2022-02-19
L00144,C16244,B01,Education Loan,2676636,14.1,3,Delayed,2024-04-23
L00145,C01190,B05,Car Loan,4767024,8.2,16,Default,2022-04-19
L00146,C11671,B01,Car Loan,3445546,12.1,25,Active,2022-02-13
L00147,C14209,B02,Personal Loan,4678628,11.2,6,Active,2022-04-02
L00148,C11110,B02,Home Loan,4172384,15.4,23,Active,2022-08-19
L00149,C13297,B04,Car Loan,3477993,13.6,8,Delayed,2023-10-01
L00150,C12381,B01,Personal Loan,866939,13.4,27,Active,2022-02-21
L00151,C03290,B03,Education Loan,287876,15.2,12,Active,2022-03-31
L00152,C15788,B05,Home Loan,954106,9.6,23,Default,2023-06-28
L00153,C05372,B05,Education Loan,99999999,13.9,18,Default,2024-02-15
L00154,C03562,B02,Education Loan,2586073,14.9,18,Delayed,2022-03-24
L00155,C10939,B03,Personal Loan,3056259,15.9,12,Actve,2023-08-26
L00156,C12706,B03,Education Loan,2841280,11.1,24,Active,2022-09-20
L00157,C07536,B02,Personal Loan,1305210,13.2,10,Active,2023-01-23
L00158,C01211,B05,Car Loan,2256123,9.1,13,Delayed,2024-05-06
L00159,C19959,B04,Personal Loan,3328159,12.3,18,Active,2022-09-12
L00160,C16261,B01,Personal Loan,1629464,11.3,12,Closed,2022-05-05
L00161,C09930,B05,Personal Loan,660251,8.7,5,Default,2022-11-03
L00162,C06989,B02,Home Loan,997973,15.3,29,Active,2023-05-13
L00163,C17645,B05,Personal Loan,4939825,15.2,7,Active,2023-06-03
L00164,C07096,B04,Education Loan,1222304,-1.0,9,Active,2022-06-02
L00165,C04093,B03,Car Loan,750515,9.0,22,Delayed,2022-07-22
L00166,C05043,B04,Personal Loan,4213860,7.7,7,Active,2022-03-18
